>dept>|>num>|>name>|>desc>|>req>
>AAAS>|>   5A>|>Introduction to African and Afro-American Studies>|>An interdisciplinary introduction to major topics in African and Afro-American studies. Provides fundamental insights into Africa, the Caribbean, and the Americas through approaches and techniques of social science and the humanities. Usually offered every year.\nMr. Joseph>|>SS>
>AAAS>|>  60A>|>Economics of Third World Hunger>|>Employs the tools of social science, particularly economics, to study causes and potential solutions to problems in production, trade, and consumption of food in the underdeveloped world. Usually offered every second year.\nMr. Nyangoni>|>NW>
>AAAS>|>  60A>|>Economics of Third World Hunger>|>Employs the tools of social science, particularly economics, to study causes and potential solutions to problems in production, trade, and consumption of food in the underdeveloped world. Usually offered every second year.\nMr. Nyangoni>|>SS>
>AAAS>|>  70A>|>Introduction to Afro-American History>|>A survey of the Afro-American experience from the era of slavery to the present. Topics include the rise of a distinct community and its institutions, reconstruction and segregation, the contributions of blacks to American society, and the struggles for freedom and equality. Usually offered every second year.\nStaff>|>SS>
>AAAS>|>  80A>|>Economy and Society in Africa>|>Perspectives on the interaction of economic and other variables in African societies. Topics include the ethical and economic bases of distributive justice; models of social theory, efficiency, and equality in law; the role of economic variables in the theory of history; and world systems analysis. Usually offered every third year.\nMr. Nyangoni>|>NW>
>AAAS>|>  80A>|>Economy and Society in Africa>|>Perspectives on the interaction of economic and other variables in African societies. Topics include the ethical and economic bases of distributive justice; models of social theory, efficiency, and equality in law; the role of economic variables in the theory of history; and world systems analysis. Usually offered every third year.\nMr. Nyangoni>|>SS>
>AAAS>|>  82A>|>Urban Politics>|>Examines urban politics in the United States from the early twentieth century to the present.  Topics include urban political machines; minority political participation; the evolution of American suburbs; and racial, economic, and political inequities that challenge public policymaking. Usually offered every third year.\nMr. Mapps>|>SS>
>AAAS>|>  85A>|>Survey of Southern African History>|>Explores the roots of segregation and apartheid in South Africa, the development of a regional political economy dominated by South Africa, labor migrancy and land alienation in southern Africa, and the rise of African and Afrikaaner nationalisms. Usually offered every second year.\nMr. Sundiata>|>NW>
>AAAS>|>  85A>|>Survey of Southern African History>|>Explores the roots of segregation and apartheid in South Africa, the development of a regional political economy dominated by South Africa, labor migrancy and land alienation in southern Africa, and the rise of African and Afrikaaner nationalisms. Usually offered every second year.\nMr. Sundiata>|>SS>
>AAAS>|> 114B>|>Race, Ethnicity, and Electoral Politics in the United States>|>Explores the role that racial and ethnic politics play in American political campaigns and elections. Readings provide historical, theoretical, and empirical overviews of racial and ethnic politics in four contexts: political parties, presidential elections, congressional campaigns, and state legislative contests. Usually offered every third year.\nMr. Mapps>|>SS>
>AAAS>|> 115A>|>Introduction to African History>|>Explores the history of African societies from their earliest beginnings to the present era. Topics include African participation in antiquity as well as early Christianity and preindustrial political, economic, and cultural developments. Usually offered every second year.\nMr. Sundiata>|>NW>
>AAAS>|> 115A>|>Introduction to African History>|>Explores the history of African societies from their earliest beginnings to the present era. Topics include African participation in antiquity as well as early Christianity and preindustrial political, economic, and cultural developments. Usually offered every second year.\nMr. Sundiata>|>SS>
>AAAS>|> 123A>|>Third World Ideologies>|>Analyzes ideological concepts developed by seminal Third World political thinkers and their application to modern political analysis. Usually offered every second year.\nMr. Nyangoni>|>NW>
>AAAS>|> 123A>|>Third World Ideologies>|>Analyzes ideological concepts developed by seminal Third World political thinkers and their application to modern political analysis. Usually offered every second year.\nMr. Nyangoni>|>SS>
>AAAS>|> 123A>|>Third World Ideologies>|>Analyzes ideological concepts developed by seminal Third World political thinkers and their application to modern political analysis. Usually offered every second year.\nMr. Nyangoni>|>WI>
>AAAS>|> 126B>|>Political Economy of the Third World>|>Development of capitalism and different roles and functions assigned to all \"Third Worlds,\" in the periphery as well as the center. Special attention will be paid to African and Afro-American peripheries. Usually offered every year.\nMr. Nyangoni>|>NW>
>AAAS>|> 126B>|>Political Economy of the Third World>|>Development of capitalism and different roles and functions assigned to all \"Third Worlds,\" in the periphery as well as the center. Special attention will be paid to African and Afro-American peripheries. Usually offered every year.\nMr. Nyangoni>|>SS>
>AAAS>|> 126B>|>Political Economy of the Third World>|>Development of capitalism and different roles and functions assigned to all \"Third Worlds,\" in the periphery as well as the center. Special attention will be paid to African and Afro-American peripheries. Usually offered every year.\nMr. Nyangoni>|>WI>
>AAAS>|> 132B>|>Introduction to African Literature>|>Examines the cultural production of African writers and filmmakers and their critiques of the postcolonial state.  Topics include their exploration of gender, sexuality, language choice, the pressures placed on \"authentic\" identities by diasporic communities, and the conflicting claims of tradition and modernity. Usually offered every third year.\nMs. Smith>|>HUM>
>AAAS>|> 132B>|>Introduction to African Literature>|>Examines the cultural production of African writers and filmmakers and their critiques of the postcolonial state.  Topics include their exploration of gender, sexuality, language choice, the pressures placed on \"authentic\" identities by diasporic communities, and the conflicting claims of tradition and modernity. Usually offered every third year.\nMs. Smith>|>NW>
>AAAS>|> 132B>|>Introduction to African Literature>|>Examines the cultural production of African writers and filmmakers and their critiques of the postcolonial state.  Topics include their exploration of gender, sexuality, language choice, the pressures placed on \"authentic\" identities by diasporic communities, and the conflicting claims of tradition and modernity. Usually offered every third year.\nMs. Smith>|>SS>
>AAAS>|> 132B>|>Introduction to African Literature>|>Examines the cultural production of African writers and filmmakers and their critiques of the postcolonial state.  Topics include their exploration of gender, sexuality, language choice, the pressures placed on \"authentic\" identities by diasporic communities, and the conflicting claims of tradition and modernity. Usually offered every third year.\nMs. Smith>|>WI>
>AAAS>|> 133B>|>The Literature of the Caribbean>|>An exploration of the narrative strategies and themes of writers of the region who grapple with issues of colonialism, class, race, ethnicity, and gender in a context of often-conflicting allegiances to North and South America, Europe, Africa, and Asia. Usually offered every second year.\nMs. Smith>|>HUM>
